subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
1	4	1	47	bathroom	SHINEd_sun_apynckhmoftszqoq.tif	none	NaN	184056.813604	184057.071826	184059.060052	21-Oct-2024 12:24:00	184050.793504
1	4	2	40	bathroom	SHINEd_sun_aofnryafpsjimzsb.tif	none	NaN	184059.072287	184059.330376	184061.31838	21-Oct-2024 12:24:00	184050.793504
1	4	3	32	bathroom	SHINEd_sun_aleqenyvunhactkl.tif	none	NaN	184061.330589	184061.588684	184063.57661	21-Oct-2024 12:24:00	184050.793504
1	4	4	45	bathroom	SHINEd_sun_apkxzenqapsujocq.tif	none	NaN	184063.588787	184063.846971	184065.834767	21-Oct-2024 12:24:00	184050.793504
1	4	5	37	bathroom	SHINEd_sun_amzlamotzwfkwjco.tif	none	NaN	184065.847113	184066.105316	184068.093621	21-Oct-2024 12:24:00	184050.793504
1	4	6	41	bathroom	SHINEd_sun_aoybiabnpadelefl.tif	none	NaN	184068.105921	184068.364021	184070.352592	21-Oct-2024 12:24:00	184050.793504
1	4	7	17	bathroom	SHINEd_sun_acegryoqftbzowsg.tif	none	NaN	184070.363738	184070.622062	184072.609826	21-Oct-2024 12:24:00	184050.793504
1	4	8	44	bathroom	SHINEd_sun_apkruvsevgegsdwp.tif	none	NaN	184072.621944	184072.880375	184074.868559	21-Oct-2024 12:24:00	184050.793504
1	4	9	28	bathroom	SHINEd_sun_ahijqszoswveeyji.tif	none	NaN	184074.880371	184075.138916	184077.12653	21-Oct-2024 12:24:00	184050.793504
1	4	10	38	bathroom	SHINEd_sun_anhioqovhscjqqwb.tif	none	NaN	184077.138581	184077.398275	184079.384932	21-Oct-2024 12:24:00	184050.793504
1	4	11	50	bathroom	SHINEd_sun_aspsyogrekjtfozg.tif	none	NaN	184079.397116	184079.655093	184081.643192	21-Oct-2024 12:24:00	184050.793504
1	4	12	14	bathroom	SHINEd_sun_abapwbhyhkfixyex.tif	none	NaN	184081.6567	184081.917731	184083.90268	21-Oct-2024 12:24:00	184050.793504
1	4	13	55	bathroom	SHINEd_sun_avhrdrntsqrjzccq.tif	none	NaN	184083.914645	184084.172778	184086.160713	21-Oct-2024 12:24:00	184050.793504
1	4	14	60	bathroom	SHINEd_sun_azqyogdvyhahyram.tif	none	NaN	184086.175205	184086.433569	184088.421447	21-Oct-2024 12:24:00	184050.793504
1	4	15	152	livingroom	SHINEd_livingroom_073.tif	6	184088.986641	184088.441848	184088.698666	184090.688462	21-Oct-2024 12:24:00	184050.793504
1	4	16	52	bathroom	SHINEd_sun_aunuadmjocsddsrl.tif	none	NaN	184090.699891	184090.955325	184092.946087	21-Oct-2024 12:24:00	184050.793504
1	4	17	49	bathroom	SHINEd_sun_asfwthctfqerjvxr.tif	none	NaN	184092.955321	184093.213632	184095.201368	21-Oct-2024 12:24:00	184050.793504
1	4	18	43	bathroom	SHINEd_sun_apjevzvycyhuqghb.tif	none	NaN	184095.213633	184095.471955	184097.459471	21-Oct-2024 12:24:00	184050.793504
1	4	19	20	bathroom	SHINEd_sun_afcoljnjfoxjtgja.tif	none	NaN	184097.472633	184097.730275	184099.719277	21-Oct-2024 12:24:00	184050.793504
1	4	20	39	bathroom	SHINEd_sun_anryaplzeujmzfkd.tif	none	NaN	184099.73018	184099.988539	184101.976143	21-Oct-2024 12:24:00	184050.793504
1	4	21	19	bathroom	SHINEd_sun_aclfzgynxzxlbepz.tif	none	NaN	184101.990476	184102.247652	184104.236812	21-Oct-2024 12:24:00	184050.793504
1	4	22	30	bathroom	SHINEd_sun_ajlawzvmubibwbpy.tif	none	NaN	184104.248544	184104.507785	184106.494464	21-Oct-2024 12:24:00	184050.793504
1	4	23	59	bathroom	SHINEd_sun_axyrejkiiaqiurjk.tif	none	NaN	184106.505644	184106.76717	184108.752311	21-Oct-2024 12:24:00	184050.793504
1	4	24	144	livingroom	SHINEd_livingroom_052.tif	6	184109.282475	184108.766697	184109.024517	184111.013372	21-Oct-2024 12:24:00	184050.793504
1	4	25	22	bathroom	SHINEd_sun_agguqiubmwhqqunb.tif	none	NaN	184111.023874	184111.280344	184113.26988	21-Oct-2024 12:24:00	184050.793504
1	4	26	23	bathroom	SHINEd_sun_aghyqhbptboemmoq.tif	none	NaN	184113.280452	184113.538296	184115.526946	21-Oct-2024 12:24:00	184050.793504
1	4	27	12	bathroom	SHINEd_sun_aapitsgbtktqubfy.tif	none	NaN	184115.538299	184115.796642	184117.784656	21-Oct-2024 12:24:00	184050.793504
1	4	28	21	bathroom	SHINEd_sun_aggnnqpdorgxpvce.tif	none	NaN	184117.797074	184118.055649	184120.043144	21-Oct-2024 12:24:00	184050.793504
1	4	29	119	livingroom	SHINEd_livingroom_012.tif	6	184120.678959	184120.055373	184120.313574	184122.302001	21-Oct-2024 12:24:00	184050.793504
1	4	30	29	bathroom	SHINEd_sun_ahqjwnzgolcaoidx.tif	none	NaN	184122.313824	184122.572033	184124.560324	21-Oct-2024 12:24:00	184050.793504
1	4	31	25	bathroom	SHINEd_sun_agyqfjcfkdcydepw.tif	none	NaN	184124.571668	184124.830412	184126.817971	21-Oct-2024 12:24:00	184050.793504
1	4	32	13	bathroom	SHINEd_sun_aavhrsfjbserjtht.tif	none	NaN	184126.83035	184127.088282	184129.076329	21-Oct-2024 12:24:00	184050.793504
1	4	33	154	livingroom	SHINEd_livingroom_083.tif	6	184129.718264	184129.088284	184129.346965	184131.334908	21-Oct-2024 12:24:00	184050.793504
1	4	34	53	bathroom	SHINEd_sun_ausgutylgojavyoq.tif	none	NaN	184131.346977	184131.605177	184133.593507	21-Oct-2024 12:24:00	184050.793504
1	4	35	27	bathroom	SHINEd_sun_ahcvzmoyaycdoftf.tif	none	NaN	184133.605421	184133.863527	184135.851703	21-Oct-2024 12:24:00	184050.793504
1	4	36	127	livingroom	SHINEd_livingroom_023.tif	6	184136.900669	184135.863257	184136.121442	184138.109111	21-Oct-2024 12:24:00	184050.793504
1	4	37	11	bathroom	SHINEd_labelme_sfxiulhjbhlyiyt.tif	none	NaN	184138.121914	184138.379793	184140.368061	21-Oct-2024 12:24:00	184050.793504
1	4	38	31	bathroom	SHINEd_sun_akiytfaagpdsphgz.tif	none	NaN	184140.379986	184140.638623	184142.626261	21-Oct-2024 12:24:00	184050.793504
1	4	39	57	bathroom	SHINEd_sun_axldvoqbuvuggfmq.tif	none	NaN	184142.6389	184142.896506	184144.88552	21-Oct-2024 12:24:00	184050.793504
1	4	40	140	livingroom	SHINEd_livingroom_047.tif	6	184145.63863	184144.896395	184145.155215	184147.142553	21-Oct-2024 12:24:00	184050.793504
1	4	41	58	bathroom	SHINEd_sun_axxbkopsgyouuebh.tif	none	NaN	184147.155665	184147.413507	184149.402095	21-Oct-2024 12:24:00	184050.793504
1	4	42	26	bathroom	SHINEd_sun_ahaulkltgpkeeemi.tif	none	NaN	184149.41355	184149.671459	184151.659498	21-Oct-2024 12:24:00	184050.793504
1	4	43	48	bathroom	SHINEd_sun_aqrpegblszgcoujh.tif	none	NaN	184151.671534	184151.929741	184153.918082	21-Oct-2024 12:24:00	184050.793504
1	4	44	36	bathroom	SHINEd_sun_ambriybtogmepttm.tif	none	NaN	184153.929879	184154.188097	184156.176019	21-Oct-2024 12:24:00	184050.793504
1	4	45	145	livingroom	SHINEd_livingroom_054.tif	6	184156.747678	184156.188277	184156.446993	184158.434578	21-Oct-2024 12:24:00	184050.793504
1	4	46	46	bathroom	SHINEd_sun_apmqjbnwghzuhhzh.tif	none	NaN	184158.446693	184158.705097	184160.693231	21-Oct-2024 12:24:00	184050.793504
1	4	47	35	bathroom	SHINEd_sun_alotolagknyrgtsk.tif	none	NaN	184160.704825	184160.962923	184162.950967	21-Oct-2024 12:24:00	184050.793504
1	4	48	54	bathroom	SHINEd_sun_auzqhkafidnkrwmo.tif	none	NaN	184162.963507	184163.221207	184165.209536	21-Oct-2024 12:24:00	184050.793504
1	4	49	15	bathroom	SHINEd_sun_abjtwfukuwddzted.tif	none	NaN	184165.221587	184165.479604	184167.46743	21-Oct-2024 12:24:00	184050.793504
1	4	50	42	bathroom	SHINEd_sun_apeeialkgkuxddgh.tif	none	NaN	184167.479613	184167.737983	184169.725946	21-Oct-2024 12:24:00	184050.793504
1	4	51	16	bathroom	SHINEd_sun_acduarbnmmoglmiv.tif	none	NaN	184169.73797	184169.996308	184171.984339	21-Oct-2024 12:24:00	184050.793504
1	4	52	18	bathroom	SHINEd_sun_acgyywnybuveqsro.tif	none	NaN	184171.996421	184172.254496	184174.242904	21-Oct-2024 12:24:00	184050.793504
1	4	53	56	bathroom	SHINEd_sun_awnqiikzaispgmwo.tif	none	NaN	184174.254488	184174.512924	184176.500413	21-Oct-2024 12:24:00	184050.793504
1	4	54	157	livingroom	SHINEd_livingroom_089.tif	6	184177.237755	184176.512884	184176.77112	184178.758965	21-Oct-2024 12:24:00	184050.793504
1	4	55	24	bathroom	SHINEd_sun_agrwbmhcpmfuwmsg.tif	none	NaN	184178.771131	184179.02943	184181.017139	21-Oct-2024 12:24:00	184050.793504
1	4	56	51	bathroom	SHINEd_sun_atstyziqcmkahyxk.tif	none	NaN	184181.029925	184181.288366	184183.27586	21-Oct-2024 12:24:00	184050.793504
1	4	57	34	bathroom	SHINEd_sun_alkosphxlxwjwgjd.tif	none	NaN	184183.287741	184183.545924	184185.533674	21-Oct-2024 12:24:00	184050.793504
1	4	58	33	bathroom	SHINEd_sun_aljolscmmzydegqp.tif	none	NaN	184185.546427	184185.804418	184187.79237	21-Oct-2024 12:24:00	184050.793504
1	4	59	92	kitchen	SHINEd_sun_ahpczsiumwwocjkv.tif	none	NaN	184193.821075	184194.079434	184196.06745	21-Oct-2024 12:24:00	184050.793504
1	4	60	78	kitchen	SHINEd_sun_adgqasybjyktddhj.tif	none	NaN	184196.079302	184196.33747	184198.325401	21-Oct-2024 12:24:00	184050.793504
1	4	61	137	livingroom	SHINEd_livingroom_039.tif	6	184199.014957	184198.337617	184198.595915	184200.58348	21-Oct-2024 12:24:00	184050.793504
1	4	62	96	kitchen	SHINEd_sun_ajcbwwvdlsvjyzje.tif	none	NaN	184200.596575	184200.854283	184202.842643	21-Oct-2024 12:24:00	184050.793504
1	4	63	100	kitchen	SHINEd_sun_amjjdeyrggfqgmom.tif	none	NaN	184202.853939	184203.11268	184205.100456	21-Oct-2024 12:24:00	184050.793504
1	4	64	106	kitchen	SHINEd_sun_awcpdzzznmweyyhv.tif	none	NaN	184205.112938	184205.371349	184207.35937	21-Oct-2024 12:24:00	184050.793504
1	4	65	148	livingroom	SHINEd_livingroom_059.tif	6	184208.024847	184207.371511	184207.629694	184209.618501	21-Oct-2024 12:24:00	184050.793504
1	4	66	109	kitchen	SHINEd_sun_aypmqwcualkenuoe.tif	none	NaN	184209.629691	184209.888128	184211.875766	21-Oct-2024 12:24:00	184050.793504
1	4	67	110	kitchen	SHINEd_sun_azmutvzbxypaceni.tif	none	NaN	184211.887764	184212.145827	184214.133827	21-Oct-2024 12:24:00	184050.793504
1	4	68	64	kitchen	SHINEd_sun_aadbddgrdsjugojn.tif	none	NaN	184214.146213	184214.404661	184216.392404	21-Oct-2024 12:24:00	184050.793504
1	4	69	68	kitchen	SHINEd_sun_aaxxjlsuzvqlgylf.tif	none	NaN	184216.404299	184216.662616	184218.650572	21-Oct-2024 12:24:00	184050.793504
1	4	70	95	kitchen	SHINEd_sun_aixorpehvfykdynp.tif	none	NaN	184218.662852	184218.921276	184220.909322	21-Oct-2024 12:24:00	184050.793504
1	4	71	91	kitchen	SHINEd_sun_ahljzhgcdpomplvg.tif	none	NaN	184220.921045	184221.179624	184223.167022	21-Oct-2024 12:24:00	184050.793504
1	4	72	85	kitchen	SHINEd_sun_afuyedyxivkhecmu.tif	none	NaN	184223.179466	184223.437683	184225.425614	21-Oct-2024 12:24:00	184050.793504
1	4	73	77	kitchen	SHINEd_sun_acxkpeoqbwcxfvip.tif	none	NaN	184225.437733	184225.696311	184227.684081	21-Oct-2024 12:24:00	184050.793504
1	4	74	88	kitchen	SHINEd_sun_agubuxuukhzyzpdp.tif	6	184228.370193	184227.696218	184227.954434	184229.942574	21-Oct-2024 12:24:00	184050.793504
1	4	75	151	livingroom	SHINEd_livingroom_072.tif	6	184230.648506	184229.95465	184230.213034	184232.200856	21-Oct-2024 12:24:00	184050.793504
1	4	76	61	kitchen	SHINEd_labelme_brsyyvweiuaazfr.tif	none	NaN	184232.213258	184232.471176	184234.459441	21-Oct-2024 12:24:00	184050.793504
1	4	77	98	kitchen	SHINEd_sun_akchetnepxlcxhsu.tif	none	NaN	184234.470695	184234.729412	184236.717179	21-Oct-2024 12:24:00	184050.793504
1	4	78	103	kitchen	SHINEd_sun_aunzlwrbjumxhwdj.tif	none	NaN	184236.729484	184236.987756	184238.975943	21-Oct-2024 12:24:00	184050.793504
1	4	79	86	kitchen	SHINEd_sun_aggjlwcdjsjcaemh.tif	none	NaN	184238.987811	184239.245749	184241.234345	21-Oct-2024 12:24:00	184050.793504
